n	p	alpha	c_palpha
6	0.99	0.025	0.643475932
8	0.01	0.025	6.294440859
8	0.05	0.025	4.21790882
8	0.1	0.025	3.322877991
8	0.2	0.025	2.425225159
8	0.3	0.025	1.896240398
8	0.4	0.025	1.521371962
8	0.5	0.025	1.235176043
8	0.6	0.025	1.008193259
8	0.7	0.025	0.826951449
8	0.8	0.025	0.685330393
8	0.9	0.025	0.585990772
8	0.95	0.025	0.561459924
8	0.99	0.025	0.586099312
10	0.01	0.025	4.984171697
10	0.05	0.025	3.356069411
10	0.1	0.025	2.655933523
10	0.2	0.025	1.953772838
10	0.3	0.025	1.540936807
10	0.4	0.025	1.249573003
10	0.5	0.025	1.026676393
10	0.6	0.025	0.849910955
10	0.7	0.025	0.709547009
10	0.8	0.025	0.600479636
10	0.9	0.025	0.527377016
10	0.95	0.025	0.513152423
10	0.99	0.025	0.54343218
12	0.01	0.025	4.205014937
12	0.05	0.025	2.842479789
12	0.1	0.025	2.256967034
12	0.2	0.025	1.668427184
12	0.3	0.025	1.324778398
12	0.4	0.025	1.080184758
12	0.5	0.025	0.893423487
12	0.6	0.025	0.747103601
12	0.7	0.025	0.630539724
12	0.8	0.025	0.541633092
12	0.9	0.025	0.484635548
12	0.95	0.025	0.476618524
12	0.99	0.025	0.50973686
15	0.01	0.025	3.454493431
15	0.05	0.025	2.343747095
15	0.1	0.025	1.866688082
15	0.2	0.025	1.388105976
15	0.3	0.025	1.108987642
15	0.4	0.025	0.912141877
15	0.5	0.025	0.761629521
15	0.6	0.025	0.643272151
15	0.7	0.025	0.550219855
15	0.8	0.025	0.479929095
15	0.9	0.025	0.437286035
15	0.95	0.025	0.434851514
15	0.99	0.025	0.470352528
20	0.01	0.025	2.744170688
20	0.05	0.025	1.86983132
20	0.1	0.025	1.494401818
20	0.2	0.025	1.118799065
20	0.3	0.025	0.899423438
20	0.4	0.025	0.74505876
20	0.5	0.025	0.627935828
20	0.6	0.025	0.5363802
20	0.7	0.025	0.46524715
20	0.8	0.025	0.413043443
20	0.9	0.025	0.38462394
20	0.95	0.025	0.386931132
20	0.99	0.025	0.423434131
25	0.01	0.025	2.318223946
25	0.05	0.025	1.585817341
25	0.1	0.025	1.270803674
25	0.2	0.025	0.956045432
25	0.3	0.025	0.772361987
25	0.4	0.025	0.643569938
25	0.5	0.025	0.545635248
25	0.6	0.025	0.469541771
25	0.7	0.025	0.410637963
25	0.8	0.025	0.368528988
25	0.9	0.025	0.348125286
25	0.95	0.025	0.353216461
25	0.99	0.025	0.389395257
30	0.01	0.025	2.034528184
30	0.05	0.025	1.393374964
30	0.1	0.025	1.118425063
30	0.2	0.025	0.844535307
30	0.3	0.025	0.684491153
30	0.4	0.025	0.572483825
30	0.5	0.025	0.487825541
30	0.6	0.025	0.422066097
30	0.7	0.025	0.371721039
